CNPJ,NOME INSTITUIÇÃO,SEGMENTO,ENDEREÇO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,UF,DDD,FONE,CART COMERCIAL,ENDEREÇO ELETRÔNICO,SÍTIO NA INTERNET
01.181.521,BANCO COOPERATIVO SICREDI S.A.                                                                                                                                                                          ,Banco Múltiplo Cooperativo                                  ,"AV. ASSIS BRASIL, 3940 - 12º ANDAR                ",                                                  ,JARDIM LINDOIA      ,91010-003,PORTO ALEGRE                                                ,RS,51,3358 47 16,Sim,DIRETORIA_BANCO@SICREDI.COM.BR                              ,WWW.SICREDI.COM.BR                                          
01.522.368,BANCO BNP PARIBAS BRASIL S.A.                                                                                                                                                                           ,Banco Múltiplo                                              ,"AV PRES JUSCELINO KUBITSCHEK, 510, 10 A 14 ANDARES",                                                  ,ITAIM BIBI          ,04543-000,SAO PAULO                                                   ,SP,11,3841 31 00,Sim,BR-COMPLIANCE.CONTROL@BR.BNPPARIBAS.COM                     ,WWW.BNPPARIBAS.COM.BR                                       
01.701.201,KIRTON BANK S.A. - BANCO MÚLTIPLO                                                                                                                                                                       ,Banco Múltiplo                                              ,"TRAVESSA OLIVEIRA BELLO, 34 - 4. ANDAR            ",                                                  ,CENTRO              ,80020-030,CURITIBA                                                    ,PR,41,3777 61 61,Sim,ISMAEL.FERRAZ@BRADESCO.COM.BR                               ,                                                            
02.038.232,BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB                                                                                                                                                              ,Banco Múltiplo Cooperativo                                  ,"SIG - SETOR DE INDÚSTRIAS GRÁFICAS, QUADRA 06     ",NÚMERO 2.080                                      ,SIG                 ,70610-460,BRASILIA                                                    ,DF,61,3217 52 00,Sim,PRESIDENCIA@BANCOOB.COM.BR                                  ,WWW.BANCOOB.COM.BR                                          
02.318.507,BANCO KEB HANA DO BRASIL S.A.                                                                                                                                                                           ,Banco Comercial                                             ,"AV.DR. CHUCRI ZAIDAN, 940                         ",18º ANDAR - CONJUNTO 181                          ,VILA CORDEIRO       ,04583-110,SAO PAULO                                                   ,SP,11,5188 11 22,Sim,SUNG.KIM@BANCOKEB.COM.BR                                    ,WWW.BANCOKEB.COM.BR                                         
02.658.435,BANCO CATERPILLAR S.A.                                                                                                                                                                                  ,Banco Múltiplo                                              ,"AVENIDA DOUTOR CHUCRI ZAIDAN, 1240                ",ED. GOLDEN TOWER - 17º ANDAR                      ,CHAC. SANTO ANTONIO ,04711-130,SAO PAULO                                                   ,SP,11,2109 22 00,Não,BANCOCATERPILLAR@CAT.COM                                    ,WWW.CATFINANCIAL.COM.BR                                     
02.801.938,BANCO MORGAN STANLEY S.A.                                                                                                                                                                               ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, 3.600                  ","6º ANDAR, 7º ANDAR - PARTE E 8º ANDAR             ",ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,3048 60 00,Sim,HAROLDO.LEITE@MORGANSTANLEY.COM                             ,WWW.MORGANSTANLEY.COM.BR                                    
02.992.446,BANCO CNH INDUSTRIAL CAPITAL S.A.                                                                                                                                                                       ,Banco Múltiplo                                              ,"AV JUSCELINO KUBITSCHEK DE OLIVEIRA,              ",11825 - PARTE                                     ,CIC                 ,81450-903,CURITIBA                                                    ,PR,41,2107 73 34,Não,LORENA.CAMARGO@CNHIND.COM.                                  ,HTTPS://WWW.CNHINDUSTRIALCAPITAL.COM/PT_BR                  
03.012.230,HIPERCARD BANCO MÚLTIPLO S.A.                                                                                                                                                                           ,Banco Múltiplo                                              ,"AV. RUI BARBOSA, 251                              ",1º ANDAR                                          ,GRAÇAS              ,52011-040,RECIFE                                                      ,PE,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR                                             
03.017.677,BANCO J. SAFRA S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,AVENIDA PAULISTA                                  ,Nº 2150                                           ,CERQUEIRA CESAR     ,01310-300,SAO PAULO                                                   ,SP,11,3175 95 07,Sim,ATENDIMENTO.REGULAMENTAR@SAFRA.COM.BR                       ,WWW.JSAFRA.COM.BR                                           
03.215.790,BANCO TOYOTA DO BRASIL S.A.                                                                                                                                                                             ,Banco Múltiplo                                              ,"AV. JORNALISTA ROBERTO MARINHO, Nº 85             ",3º ANDAR                                          ,CIDADE MONÇÕES      ,04576-010,SAO PAULO                                                   ,SP,11,5504 20 00,Não,COMPLIANCE@BANCOTOYOTA.COM.BR                               ,WWW.BANCOTOYOTA.COM.BR                                      
03.323.840,BANCO ALFA S.A.                                                                                                                                                                                         ,Banco Comercial                                             ,"ALAMEDA SANTOS, 466                               ",4º ANDAR                                          ,CERQUEIRA CESAR     ,01418-000,SAO PAULO                                                   ,SP,11,3175 51 49,Sim,SECRETARIA@BANCOALFA.COM.BR                                 ,WWW.ALFANET.COM.BR                                          
03.502.961,BANCO PSA FINANCE BRASIL S.A.                                                                                                                                                                           ,Banco Múltiplo                                              ,"AVENIDA DAS NAÇÕES UNIDAS, 12.495                 ",11º ANDAR                                         ,BROOKLIN            ,04578-000,SAO PAULO                                                   ,SP,11,2536 30 00,Não,BANCOPSA@MPSA.COM                                           ,WWW.BANCOPSA.COM.BR                                         
03.532.415,BANCO ABN AMRO S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"RUA LEOPOLDO COUTO DE MAGALHÃES JUNIOR, 700       ",4 ANDAR                                           ,ITAIM BIBI          ,04542-000,SAO PAULO                                                   ,SP,11,3073 74 00,Sim,JAQUES.MESTER@BR.ABNAMRO.COM                                ,HTTP://WWW.ABNAMRO.COM/EN/ABOUT-ABN-AMRO/WORLDWIDE-PRESENCE/
03.609.817,BANCO CARGILL S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA DR. CHUCRI ZAIDAN,                        ",1.240 - 8 ANDAR                                   ,VILA SÃO FRANCISCO  ,04711-130,SAO PAULO                                                   ,SP,11,5099 37 81,Sim,MARLON_LAZARO@CARGILL.COM                                   ,WWW.BANCOCARGILL.COM.BR                                     
03.634.220,BANCO HONDA S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"RUA DOUTOR JOSE AUREO BUSTAMANTE , 377            ",3º ANDAR                                          ,SANTO AMARO         ,04710-090,SAO PAULO                                                   ,SP,11,5576 93 49,Não,COMPLIANCE_HSF@HONDA.COM.BR                                 ,WWW.BANCOHONDA.COM.BR                                       
04.184.779,BANCO BRADESCARD S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,"ALAMEDA RIO NEGRO, 585, 15º ANDAR                 ","PARTE, BLOCO D, EDIFÍCIO JAUAPERI                 ",ALPHAVILE INDUSTRIAL,06454-000,BARUERI                                                     ,SP,11,4831 34 99,Sim,5404.REGULATORIO@BRADESCO.COM.BR                            ,WWW.BRADESCARD.COM.BR                                       
04.332.281,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.                                                                                                                                                             ,Banco Múltiplo                                              ,"RUA LEOPOLDO COUTO DE MAGALHÃES JR., Nº 700       ","16º (PARTE), 17º E 18º (PARTE) ANDARES            ",ITAIM BIBI          ,04542-000,SAO PAULO                                                   ,SP,11,3371 07 00,Não,OUVIDORIAGOLDMANSACHS@GS.COM                                ,WWW.GS.COM                                                  
04.866.275,BANCO INBURSA S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 1327     ","18º ANDAR, CJ 181 E CJ182 - PARTE                 ",VILA NOVA CONCEIÇÃO ,04543-011,SAO PAULO                                                   ,SP,11,3030 43 00,Sim,SAOCOMPLIANCE@INBURSA.COM                                   ,WWW.BANCOINBURSA.COM.BR                                     
04.902.979,BANCO DA AMAZONIA S.A.                                                                                                                                                                                  ,Banco Comercial                                             ,"AV. PRESIDENTE VARGAS, 800                        ",                                                  ,CAMPINA             ,66017-000,BELEM                                                       ,PA,91,4008 38 88,Sim,PRESI@BANCOAMAZONIA.COM.BR                                  ,WWW.BANCOAMAZONIA.COM.BR                                    
04.913.711,BANCO DO ESTADO DO PARÁ S.A.                                                                                                                                                                            ,Banco Múltiplo                                              ,"AV. PRESIDENTE VARGAS, 251                        ","EDF. BANPARÁ, 4º ANDAR                            ",CAMPINA             ,66010-000,BELEM                                                       ,PA,91,3348 32 09,Sim,GAB.PRESI@BANPARANET.COM.BR                                 ,WWW.BANPARANET.B.BR                                         
05.040.481,BANCO DE LAGE LANDEN BRASIL S.A.                                                                                                                                                                        ,Banco Múltiplo                                              ,"RUA SOLEDADE, N° 550                              ",8° ANDAR                                          ,PETRÓPOLIS          ,90470-340,PORTO ALEGRE                                                ,RS,51,2104 25 00,Não,RELACIONAMENTO.BACEN@DELAGELANDEN.COM.BR                    ,WWW.BANCODLL.COM.BR                                         
06.271.464,BANCO BRADESCO BBI S.A.                                                                                                                                                                                 ,Banco Múltiplo                                              ,"NÚCLEO CIDADE DE DEUS, PRÉDIO PRATA               ",4º ANDAR                                          ,VILA YARA           ,06029-900,OSASCO                                                      ,SP,11,3684 62 01,Sim,4260.GUILHERME@BRADESCO.COM.BR                              ,WWW.BRADESCOBBI.COM.BR                                      
07.207.996,BANCO BRADESCO FINANCIAMENTOS S.A.                                                                                                                                                                      ,Banco Múltiplo                                              ,"CIDADE DE DEUS, S/N                               ","PRÉDIO PRATA, 4º ANDAR                            ",VILA YARA           ,06029-900,OSASCO                                                      ,SP,11,5503 75 00,Sim,4260.GUILHERME@BRADESCO.COM.BR                              ,WWW.BRADESCOFINANCIAMENTOS.COM.BR                           
07.237.373,BANCO DO NORDESTE DO BRASIL S.A.                                                                                                                                                                        ,Banco Múltiplo                                              ,AVENIDA DR. SILAS MUNGUBA                         ,5700,PASSARE             ,60743-902,FORTALEZA                                                   ,CE,85,3299 30 00,Sim,OUVIDORIA@BNB.GOV.BR                                        ,WWW.BNB.GOV.BR                                              
07.441.209,BANCO MONEO S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"AV. RIO BRANCO, 4889                              ",4º ANDAR                                          ,ANA RECH            ,95060-145,CAXIAS DO SUL                                               ,RS,54,2991 10 00,Não,BANCOMONEO@BANCOMONEO.COM.BR                                ,WWW.BANCOMONEO.COM.BR                                       
07.450.604,CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A                                                                                                                                                     ,Banco Múltiplo                                              ,"AVENIDA BRIGADEIRO FARIA LIMA, 4440               ",1º AO 05º ANDARES                                 ,ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,2173 90 00,Sim,CONTROLADORIA@BR.CCB.COM                                    ,WWW.BR.CCB.COM                                              
07.656.500,BANCO KDB DO BRASIL S.A.                                                                                                                                                                                ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, 3400                   ",15º ANDAR  CONJUNTO 152                           ,ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,2138 00 00,Sim,MAYCON@KDB.CO.KR                                            ,WWW.BANCOKDB.COM.BR/HOME.HTML                               
07.679.404,BANCO TOPÁZIO S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,RUA 18 DE NOVEMBRO 273                            ,CONJUNTO 801                                      ,NAVEGANTES          ,90240-040,PORTO ALEGRE                                                ,RS,51,3327 77 00,Sim,TOPAZIOBC@BANCOTOPAZIO.COM.BR                               ,WWW.BANCOTOPAZIO.COM.BR                                     
08.357.240,BANCO CSF S.A.                                                                                                                                                                                          ,Banco Múltiplo                                              ,"RUA GEORGE EASTMAN, 213                           ",TÉRREO - PARTE                                    ,VILA TRAMONTANO     ,05690-000,SAO PAULO                                                   ,SP,11,3779 62 15,Não,COMPLIANCE@CARREFOUR.COM                                    ,WWW.CARREFOURSOLUCOES.COM.BR                                
09.274.232,NATIXIS BRASIL S.A. BANCO MÚLTIPLO                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA PAULISTA, 283/287 - 12º ANDAR             ",EDIFÍCIO SANTA CATARINA                           ,BELA VISTA          ,01311-000,SAO PAULO                                                   ,SP,11,3027 59 22,Sim,INSTITUCIONAL@BR.NATIXIS.COM                                ,                                                            
09.516.419,BANCO ORIGINAL DO AGRONEGÓCIO S.A.                                                                                                                                                                      ,Banco Múltiplo                                              ,"RUA GENERAL FURTADO DO NASCIMENTO, Nº 66          ",LOTE 01                                           ,ALTO DE PINHEIROS   ,05465-070,SAO PAULO                                                   ,SP,800,744 07 44,Sim,CONTATOBACEN@BANCOORIGINAL.COM.BR                           ,WWW.BANCOORIGINAL.COM.BR                                    
09.526.594,BANCO VIPAL S.A.                                                                                                                                                                                        ,Banco Múltiplo                                              ,"AV. SEVERO DULLIUS, 1395                          ",SALA 603                                          ,ANCHIETA            ,90200-310,PORTO ALEGRE                                                ,RS,51,3205 30 00,Não,MARCOS.ZORZAN@BANCOVIPAL.COM.BR                             ,WWW.BANCOVIPAL.COM.BR                                       
10.264.663,BBN BANCO BRASILEIRO DE NEGÓCIOS S.A.                                                                                                                                                                   ,Banco Múltiplo                                              ,"AVENIDA DAS NAÇÕES UNIDAS, Nº 8501                ",10º ANDAR - ELDORADO BUSINESS TOWER               ,PINHEIROS           ,05425-070,SAO PAULO                                                   ,SP,11,3629 71 15,Sim,ADOUEK@RENDIMENTO.COM.BR                                    ,WWW.CONCORDIABANCO.COM                                      
10.371.492,BANCO YAMAHA MOTOR DO BRASIL S.A.                                                                                                                                                                       ,Banco Múltiplo                                              ,RODOVIA PRESIDENTE DUTRA                          ,KM 214                                            ,JARDIM CUMBICA      ,07178-580,GUARULHOS                                                   ,SP,11,2088 77 17,Não,COMPLIANCE.CONTROLESINTERNOS@YAMAHA-MOTOR.COM.BR            ,WWW.BANCOYAMAHA.COM.BR                                      
10.664.513,BANCO AGIPLAN S.A.                                                                                                                                                                                      ,Banco Comercial                                             ,"RUA MOSTARDEIRO, Nº 266                           ",                                                  ,MOINHOS DE VENTO    ,90430-000,PORTO ALEGRE                                                ,RS,51,3921 14 00,Sim,COMPLIANCE@AGIPLAN.COM.BR                                   ,WWW.BANCOAGIPLAN.COM.BR                                     
10.690.848,BANCO DA CHINA BRASIL S.A.                                                                                                                                                                              ,Banco Múltiplo                                              ,"AV. PAULISTA, 901                                 ",14º ANDAR                                         ,BELA VISTA          ,01311-100,SAO PAULO                                                   ,SP,11,3508 32 00,Sim,CONTATOBC@BOC-BRAZIL.COM                                    ,WWW.BOC-BRAZIL.COM                                          
10.866.788,BANCO BANDEPE S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 2041/2235",BLOCO A (PARTE)                                   ,VILA OLÍMPIA        ,04543-011,SAO PAULO                                                   ,SP,11,3553 55 33,Sim,CORGREGULADORES@SANTANDER.COM.BR                            ,WWW.SANTANDER.COM.BR                                        
11.417.016,SCANIA BANCO S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"AVENIDA JOSÉ ODORIZZI, 151                        ",PORTARIA 1 (P11-02)                               ,VILA EURO           ,09810-902,SAO BERNARDO DO CAMPO                                       ,SP,11,4344 82 82,Não,SBB.BC@SCANIA.COM                                           ,WWW.SCANIABANCO.COM.BR                                      
11.476.673,BANCO RANDON S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"AV. RUBEM BENTO ALVES, 1469                       ",SALA 3                                            ,UNIVERSITARIO       ,95052-105,CAXIAS DO SUL                                               ,RS,54,3239 46 00,Não,BANCORANDON@BANCORANDON.COM                                 ,WWW.BANCORANDON.COM.BR                                      
11.703.662,BANCO CONFIDENCE DE CÂMBIO S.A.                                                                                                                                                                         ,Banco de Câmbio                                             ,"RUA JÚLIO GONZALEZ, 132                           ","CJS.NºS.141,142,143E144-PAV.Nº20º-ED.M.O.BUILDING ",BARRA FUNDA         ,01156-060,SAO PAULO                                                   ,SP,11,3614 11 00,Não,BANCOCONFIDENCE@BANCOCONFIDENCE.COM.BR                      ,WWW.BANCOCONFIDENCE.COM.BR                                  
11.758.741,BANCO FINAXIS S.A.                                                                                                                                                                                      ,Banco Comercial                                             ,"RUA PASTEUR, 463                                  ",11 ANDAR                                          ,BATEL               ,80250-104,CURITIBA                                                    ,PR,41,3074 58 11,Sim,COMPLIANCE@FINAXIS.COM.BR                                   ,WWW.FINAXIS.COM.BR                                          
13.009.717,BANCO DO ESTADO DE SERGIPE S.A.                                                                                                                                                                         ,Banco Múltiplo                                              ,"RUA OLIMPIO DE SOUZA CAMPOS JUNIOR, 31            ",CENTRO ADMINISTRATIVO                             ,INÁCIO BARBOSA      ,49040-840,ARACAJU                                                     ,SE,79,3218 12 00,Sim,DIRETORIA@BANESE.COM.BR                                     ,WWW.BANESE.COM.BR                                           
13.059.145,BEXS BANCO DE CÂMBIO S/A                                                                                                                                                                                ,Banco de Câmbio                                             ,"AV DAS NAÇÕES UNIDAS, 11633                       ",11 ANDAR                                          ,BROOKLIN PAULISTA   ,04578-901,SAO PAULO                                                   ,SP,11,2712 53 00,Não,BEXS@BEXS.COM.BR                                            ,WWW.BEXSBANCO.COM.BR                                        
13.720.915,BANCO WESTERN UNION DO BRASIL S.A.                                                                                                                                                                      ,Banco Comercial                                             ,"RUA IGUATEMI, 151                                 ",7º ANDAR - PARTE                                  ,ITAIM               ,01451-011,SAO PAULO                                                   ,SP,11,4097 74 70,Sim,COMPLIANCEBR@WESTERNUNION.COM                               ,WWW.BANCOWESTERNUNION.COM.BR                                
14.388.334,PARANÁ BANCO S.A.                                                                                                                                                                                       ,Banco Múltiplo                                              ,"RUA VISCONDE DE NACAR, 1441 - 5. ANDAR            ",                                                  ,CENTRO              ,80410-201,CURITIBA                                                    ,PR,41,3351 98 99,Sim,PRESIDENCIA@PARANABANCO.COM.BR                              ,WWW.PARANABANCO.COM.BR                                      
15.114.366,BANCO BBM S/A                                                                                                                                                                                           ,Banco Múltiplo                                              ,RUA MIGUEL CALMON 398                             ,7º. ANDAR/PARTE                                   ,COMÉRCIO            ,40015-010,SALVADOR                                                    ,BA,71,3326 47 21,Sim,BANCOBBM@BANCOBBM.COM.BR                                    ,WWW.BANCOBBM.COM.BR                                         
15.173.776,BANCO CAPITAL S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"AV. ESTADOS UNIDOS, 258                           ","EDF. CIDADE DE ARACAJU, TERREO                    ",COMERCIO            ,40010-020,SALVADOR                                                    ,BA,71,2104 10 00,Sim,ADM@BANCOCAPITAL.COM.BR                                     ,WWW.BANCOCAPITAL.COM.BR                                     
15.357.060,BANCO WOORI BANK DO BRASIL S.A.                                                                                                                                                                         ,Banco Múltiplo                                              ,"AVENIDA DAS NAÇÕES UNIDAS, 14171                  ","CONJUNTO 803, 8º ANDAR DA TORRE C - CRYSTAL TOWER ",VILA GERTRUDES      ,04794-000,SAO PAULO                                                   ,SP,11,3511 33 42,Sim,RICARDO.MARTINS@WOORIBANK.COM.BR                            ,WWW.WOORIBANK.COM.BR                                        
17.184.037,BANCO MERCANTIL DO BRASIL S.A.                                                                                                                                                                          ,Banco Múltiplo                                              ,"RUA RIO DE JANEIRO, 680                           ",                                                  ,CENTRO              ,30160-912,BELO HORIZONTE                                              ,MG,31,3057 69 48,Sim,MB.CONTROLADORIA@MERCANTIL.COM.BR                           ,WWW.MERCANTIL.COM.BR                                        
17.192.451,BANCO ITAUCARD S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"ALAMEDA PEDRO CALIL, 43                           ",                                                  ,VILA DAS ACÁCIAS    ,08557-105,POA                                                         ,SP,11,5019 99 86,Não,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAU.COM.BR/CARTOES                                     
17.298.092,BANCO ITAÚ BBA S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, 3.500                  ","1º, 2º, 3º (PARTE), 4º E 5º ANDARES               ",ITAIM BIBI          ,04538-132,SAO PAULO                                                   ,SP,11,5019 99 86,Sim,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR                   ,WWW.ITAUBBA.COM.BR                                          
17.351.180,BANCO TRIANGULO S.A.                                                                                                                                                                                    ,Banco Múltiplo                                              ,AV CESARIO ALVIM 2209                             ,                                                  ,APARECIDA           ,38400-696,UBERLANDIA                                                  ,MG,34,3218 14 21,Sim,COMPLIANCE@TRIBANCO.COM.BR                                  ,WWW.TRIBANCO.COM.BR                                         
17.453.575,ICBC DO BRASIL BANCO MÚLTIPLO S.A.                                                                                                                                                                      ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, NÚMERO 3.477           ","BLOCO B, 6° ANDAR                                 ",ITAIM BIBI          ,04538-133,SAO PAULO                                                   ,SP,11,2395 66 00,Sim,LI.XIAOBO@BR.ICBC.COM.CN                                    ,HTTP://WWW.ICBC.COM.CN                                      
19.307.785,MS BANK S.A. BANCO DE CÂMBIO                                                                                                                                                                            ,Banco de Câmbio                                             ,"RUA BISPO DOM JOSÉ, 2095                          ",CONJUNTO 306                                      ,BATEL               ,80440-080,CURITIBA                                                    ,PR,41,3123 01 00,Não,JULIANA.BRANDALIZE@MSBANK.COM.BR                            ,WWW.MSBANK.COM.BR                                           
23.522.214,COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO                                                                                                                                                                ,Banco Múltiplo                                              ,"AVENIDA DR. CHUCRI ZAIDAN, 1240                   ",11º ANDAR CONJUNTOS 1102/1104                     ,SANTO AMARO         ,04711-130,SAO PAULO                                                   ,SP,11,4766 16 00,Sim,RONALDO.CORREA@COMMERZBANK.COM                              ,                                                            
23.903.068,BANCO KOMATSU DO BRASIL S.A.                                                                                                                                                                            ,Banco Múltiplo                                              ,AV. JORNALISTA PAULO ZINGG                        ,65,JARDIM JARAGUÁ      ,05157-030,SAO PAULO                                                   ,SP,11,2105 80 72,Não,BKB.OUVIDORIA@KOMATSU.COM.BR                                ,HTTP://WWW.BANCOKOMATSU.COM.BR                              
27.098.060,BANCO CBSS S.A.                                                                                                                                                                                         ,Banco Múltiplo                                              ,"ALAMEDA XINGU, 512                                ","7º ANDAR, PARTE, EDIFÍCIO COND EVOLUTION CORPORATE",ALPHAVILLE          ,06455-030,BARUERI                                                     ,SP,11,2188 65 87,Não,REGULATORIOSBACEN@ELOPAR.COM.BR                             ,WWW.BANCOCBSS.COM.BR                                        
28.127.603,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                                                                                                                                         ,Banco Múltiplo                                              ,"AV. PRINCESA ISABEL, 574 ED.PALAS CENTER BL.B 9.AN",                                                  ,CENTRO              ,29010-930,VITORIA                                                     ,ES,27,3383 10 00,Sim,GABINETE@BANESTES.COM.BR                                    ,WWW.BANESTES.COM.BR                                         
28.195.667,BANCO ABC BRASIL S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,"AVENIDA CIDADE JARDIM, 803                        ",2º ANDAR                                          ,ITAIM BIBI          ,01453-000,SAO PAULO                                                   ,SP,11,3170 20 00,Sim,SERGIO.BOREJO@ABCBRASIL.COM.BR                              ,WWW.ABCBRASIL.COM.BR                                        
29.030.467,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO                                                                                                                                                                   ,Banco Múltiplo                                              ,"AV. BRIGADEIRO FARIA LIMA, 2277                   ",7º ANDAR                                          ,JARDIM PAULISTANO   ,01452-000,SAO PAULO                                                   ,SP,11,2202 81 00,Sim,SCOTIABANK.SAOPAULO@BR.SCOTIABANK.COM                       ,HTTP://WWW.BR.SCOTIABANK.COM/                               
