Compe,Bank Name,E-mail,Filiado à Febraban
747,Banco Rabobank International Brasil S.A.,www.rabobank.com.br,
,Banco Randon S.A.,www.bancorandon.com,
,Banco RCI Brasil S.A.,www.bancorenault.com.br,
633,Banco Rendimento S.A.,www.rendimento.com.br,
741,Banco Ribeirão Preto S.A.,www.brp.com.br,
120,Banco Rodobens S.A.,www.rodobens.com.br,
422,Banco Safra S.A.,www.safra.com.br,
33,Banco Santander (Brasil) S.A.,www.santander.com.br,
743,Banco Semear S.A.,www.bancosemear.com.br,
754,Banco Sistema S.A.,www.btgpactual.com,
366,Banco Société Générale Brasil S.A.,www.sgbrasil.com.br,
637,Banco Sofisa S.A.,www.sofisa.com.br,
464,Banco Sumitomo Mitsui Brasileiro S.A.,www.smbcgroup.com.br,
82,Banco Topázio S.A.,www.bancotopazio.com.br,
,Banco Toyota do Brasil S.A.,www.bancotoyota.com.br,
634,Banco Triângulo S.A.,www.tribanco.com.br,
18,Banco Tricury S.A.,www.bancotricury.com.br,
,Banco Vipal S.A.,www.bancovipal.com.br,
,Banco Volkswagen S.A.,www.bancovw.com.br,
,Banco Volvo Brasil S.A.,Não possui site,
655,Banco Votorantim S.A.,www.bancovotorantim.com.br,
610,Banco VR S.A.,www.vrinvestimentos.com.br,
119,Banco Western Union do Brasil S.A.,www.bancowesternunion.com.br,
124,Banco Woori Bank do Brasil S.A.,www.wooribank.com.br,
,Banco Yamaha Motor do Brasil S.A.,www.yamaha-motor.com.br,
,Bancoob Distribuidora de Títulos e Valores Mobiliários LTDA.,,
,Banestes Distribuidora de Títulos e Valores Mobiliários S/A,,
21,BANESTES S.A. Banco do Estado do Espírito Santo,www.banestes.com.br,
,Banif Banco de Investimento (Brasil) S.A.,www.banif.com.br,
719,Banif-Banco Internacional do Funchal (Brasil)S.A.,www.banif.com.br,
755,Bank of America Merrill Lynch Banco Múltiplo S.A.,www.ml.com,
,Banrisul S.A. - Administradora de Consórcios,www.banrisulconsorcios.com.br,
,Banrisul S/A Corretora de Valores Mobiliários e Câmbio,www.banrisulcorretora.com.br,
,Barclays Corretora de Títulos e Valores Mobiliários S.A.,,
,Barigui Companhia Hipotecária,,
,"Barigui S.A. Crédito, Financiamento e Investimentos",www.bariguifinanceira.com.br,
,BB Administradora de Consórcios S.A.,www.bbconsorcios@bb.com.br,
,BB Banco de Investimento S.A.,www.bb.com.br,
,BB Gestão de Recursos - Distribuidora de Títulos e Valores Mobiliários S.A.,www.bb.com.br/bbdtvm,
,BB Leasing S/A Arrendamento Mercantil,,
81,BBN Banco Brasileiro de Negócios S.A.,www.rendimento.com.br,
250,BCV - Banco de Crédito e Varejo S.A.,www.bancobcv.com.br,
,BEC Distribuidora de Títulos e Valores Mobiliários LTDA.,,
,BEM - Distribuidora de Títulos e Valores Mobiliários LTDA.,,
,Besc-Distribuidora de Títulos e Valores Mobiliários SA-Bescval,,
144,BEXS Banco de Câmbio S.A.,www.bexs.com.br,
,Bexs Corretora de Câmbio S/A,www.bexscorretora.com.br,
,BMC Asset Management - Distribuidora de Títulos e Valores Mobiliários LTDA.,www.bmc.com.br,
,BMG Leasing S.A. - Arrendamento Mercantil,www.bancobmg.com.br,
,"BMW Financeira S.A. - Crédito, Financiamento e Investimento",www.bmwfs.com.br,
,BMW Leasing do Brasil S.A. - Arrendamento Mercantil,www.bmwfs.com.br,
17,BNY Mellon Banco S.A.,www.bnymellon.com.br,
,BNY Mellon Serviços Financeiros Distribuidora de Títulos e Valores Mobiliários S.A.,www.bnymellon.com.br,
,BR Consórcios Administradora de Consórcios LTDA,www.brconsorcios.com,
126,BR Partners Banco de Investimento S.A.,www.brap.com.br,
,BR Partners Corretora de Títulos e Valores Mobiliários S.A.,,
,Bradesco Administradora de Consórcios LTDA.,,
,Bradesco Leasing S.A. Arrecadamento Mercantil,,
,Bradesco S.A. Corretora de Títulos e Valores Mobiliários,,
,Bradesco-Kirton Corretora de Títulos e Valores Mobiliários S.A.,,
,BRAM - Bradesco Asset Management S.A. Distribuidora de Títulos e Valores Mobiliários,,
,Brascan CIA. Hipotecária,,
,"Brasil Plural Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",www.brasilplural.com,
125,Brasil Plural S.A. - Banco Múltiplo,www.brasilplural.com,
,Brazilian Mortgages Companhia Hipotecária,www.brazilianmortgages.com.br,
70,BRB - Banco de Brasília S.A.,www.brb.com.br,
,"BRB - Crédito, Financiamento e Investimento S.A.",,
,BRB - Distribuidora de Títulos e Valores Mobiliários SA,www.brb.com.br,
92,"Brickell S.A. Crédito, Financiamento e Investimento",www.brickellcfi.com.br,
,BRKB Distribuidora de Títulos e Valores Mobiliário S.A.,www.brkbdtvm.com.br,
,BRQualy Administradora de Consórcios LTDA.,www.brqualy.com.br,
,BTG Pactual Asset Management S.A. Distribuidora de Títulos e Valores Mobiliários,www.btgpactual.com,
,BTG Pactual Corretora de Títulos e Valores Mobiliários S.A.,www.btgpactual.com,
,BTG Pactual Serviços Financeiros S.A. Distribuidora de Títulos e Valores Mobiliários,www.btgpactual.com,
,"BV Financeira S.A. - Crédito, Financiamento e Investimento",www.bvfinanceira.com.br,
,BV Leasing - Arrendamento Mercantil S.A.,www.votorantimfinanças.com.br,
,Ca Indosuez Wealth (Brazil) S.A. Distribuidora de Títulos e Valores Mobiliários,www.creditagricoledtvm.com.br,
,Caixa Consórcios S.A Administradora de Consórcios,www.caixaconsorcios.com.br,
104,Caixa Econômica Federal,www.caixa.gov.br,
,CCB Brasil Arrendamento Mercantil S/A,,
,CCB Brasil Distribuidora de Títulos e Valores Mobiliários S.A.,,
,"CCB Brasil S.A. - Crédito, Financiamentos e Investimentos",www.sulfinanceira.com.br,
114-7,Central das Cooperativas de Economia e Crédito Mútuo do Estado do Espírito Santo Ltda.,www.cecoop.com.br,
,CGD Investimentos Corretora de Valores e Câmbio S.A.,,
320,China Construction Bank (Brasil) Banco Múltiplo S.A.,www.br.ccb.com,
,"Cifra S.A. Crédito, Financiamento e Investimento",www.bancocifra.com.br,
,Citibank Distribuidora de Títulos e Valores Mobiliários S.A,www.citibank.com.br,
,Citibank Leasing S.A - Arrendamento Mercantil,www.citibank.com.br,
477,Citibank N.A.,www.citibank.com,
,"Citigroup Global Markets Brasil, Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",www.citibank.com.br,
,Clear Corretora de Títulos e Valores Mobiliários S.A.,www.clear.com.br,
,"CM Capital Markets Corretora de Câmbio, Títulos e Valores Mobiliários LTDA",www.cmcapitalmarkets.com.br,
,CM Capital Markets Distribuidora de Títulos e Valores Mobiliários LTDA,www.cmcapitalmarkets.com.br,
,CNF - Administradora de Consórcios Nacional LTDA,www.consorcionacionalford.com.br,
,COIN-Distribuidora de Títulos e Valores Mobiliários LTDA,www.coinvalores.com.br,
,Coinvalores Corretora de Câmbio e Valores Mobiliários LTDA.,www.coinvalores.com.br,
163,Commerzbank Brasil S.A. - Banco Múltiplo,www.commerzbank.com.br,
,"Companhia de Crédito, Financiamento e Investimento RCI Brasil",,
,Companhia Hipotecária Piratini - CHP,www.chphipotecaria.com.br/,
,Companhia Província de Crédito Imobiliário,www.ciaprovincia.com.br,
,CONBR Administradora de Consórcios LTDA.,www.rodobens.com.br,
136,CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICREDS,www.unicred.com.br/,
,Confidence Corretora de Câmbio S.A.,www.confidencecambio.com.br,
,Consórcio Nacional Volkswagen - Administradora de Consórcio LTDA.,www.cnvw.com.br,
97,Cooperativa Central de Crédito Noroeste Brasileiro Ltda.,www.credisis.com.br,
085-x,Cooperativa Central de Crédito Urbano-CECRED,www.cecred.coop.br/,
090-2,Cooperativa Central de Economia e Crédito Mutuo - SICOOB UNIMAIS,www.sicoobunimais.com/,
087-6,Cooperativa Central de Economia e Crédito Mútuo das Unicreds de Santa Catarina e Paraná,www.unicred.com.br/centralscpr/,
,Cooperativa de Crédito Mútuo dos Despachantes de Trâns.Sta.Catarina e Rio Grande do Sul - SICOOB,www.creditran.com.br,
089-2,Cooperativa de Crédito Rural da Região da Mogiana,www.credisan.com.br,
,Cotação Distribuidora de Títulos e Valores Mobiliários S.A,www.cotacao.com.br,
098-1,CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL,www.credialianca.com.br,
,"Crediare S.A. Crédito, Financiamento e Investimento",www.crediare.com.br,
,Credit Suisse (Brasil) Distribuidora de Títulos e Valores Mobiliários S.A.,,
,Credit Suisse (Brasil) S.A. Corretora de Títulos e Valores Mobiliários,,
,Credit Suisse Hedging-Griffo Corretora de Valores S.A,www.cshg.com.br,
,Dacasa Financeira S.A.-Soc. de Créd. Financ. e Investimento,www.dacasa.com.br,
,Daycoval Leasing - Banco Múltiplo S.A.,www.daycoval.com.br,
,Deutsche Bank - Corretora de Valores S.A.,www.deutsche-bank.com.br,
487,Deutsche Bank S.A. - Banco Alemão,www.deutsche-bank.com.br,
,Dibens Leasing S.A. Arrendamento Mercantil,www.itau.com.br,
,Distribuidora Intercap de Títulos e Valores Mobiliários S.A.,www.intercap.com.br,
,"Estrela Mineira Crédito, Financiamento e Investimento S/A",,
,Everest Leasing S.A. Arrendamento Mercantil,,
,Fator S.A. - Corretora de Valores,www.bancofator.com.br,
,"Finamax S.A. - Crédito, Financiamento e Investimento",www.finamax.com.br,
,"Financeira Alfa S.A. Crédito, Financiamento e Investimentos",www.alfanet.com.br,
,"Financeira Itaú CBD S.A. Crédito, Financiamento e Investimento",www.itau.com.br,
,Finaxis Corretora de Títulos e Valores Mobiliários S.A.,www.personaltrader.com.br,
,"Gazincred S.A. Sociedade de Crédito, Financiamento e Investimento",www.gazincred.com.br,
,Geração Futuro Corretora de Valores SA.,www.gerafuturo.com.br,
,Globo Administradora de Consórcios LTDA.,,
,Gmac Administradora de Consórcios LTDA,www.chevroletsf.com,
,"Golcred S/A - Crédito, Financiamento e Investimento",www.golcred.com.br,
64,Goldman Sachs do Brasil Banco Múltiplo S.A.,www.goldmansachs.com,
,Goldman Sachs do Brasil Corretora de Títulos e Valores Mobiliárias S.A.,www.gs.com,
135,"Gradual Corretora de Câmbio,Títulos e Valores Mobiliários S.A.",www.gradualcorretora.com.br,
,Guide Investimentos S.A. - Corretora de Valores,www.indusval.com.br,
,H H Picchioni S/A Corretora de Câmbio e Valores Mobiliários,www.picchioni.com.br,
78,Haitong Banco de Investimento do Brasil S.A.,www.haitongib.com.br,
,Haitong do Brasil Distribuidora de Títulos e Valores Mobiliários S.A.,www.haitongib.com.br,
,Haitong Securities do Brasil Corretora de Câmbio e Valores Mobiliários S.A.,www.haitongib.com.br,
62,Hipercard Banco Múltiplo S.A.,www.hipercard.com.br,
,Honda Leasing S.A. - Arrendamento Mercantil,www.hondaleasing.com.br,
,HS Administradora de Consórcios LTDA,www.hsconsorcio.com.br,
,"HS Financeira S/A Crédito, Financiamento e Investimentos",www.hsfinanceira.com.br,
,HSBC Brasil S.A. - Banco de Investimento,,
132,ICBC do Brasil Banco Múltiplo S.A.,www.icbcbr.com.br,
,IclaTrust Distribuidora de Títulos e Valores Mobiliários S.A.,www.iclatrust.com.br,
,Industrial do Brasil Distribuidora de Títulos e Valores Mobiliários LTDA.,www.bancoindustrial.com.br,
492,ING Bank N.V.,www.ing.com,
,ING Corretora de Câmbio e Títulos S.A.,www.ing.com,
,Intermedium Distribuidora de Títulos e Valores Mobiliários LTDA.,www.intermedium.com.br,
139,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,www.intesasanpaolobrasil.com.br,
,Intrag Distribuidora de Títulos e Valores Mobiliários LTDA.,www.intrag.com.br,
,Itabens Administradora de Consórcios LTDA,,
,Itaú Administradora de Consórcios LTDA.,www.itau.com.br,
,Itaú Corretora de Valores S.A.,www.itaucor.com.br,
,Itaú Distribuidora de Títulos e Valores Mobiliários S.A.,www.itau.com.br,
652,Itaú Unibanco Holding S.A.,www.itau.com.br,
341,Itaú Unibanco S.A.,www.itau.com.br,
,Itaú Unibanco Veículos Administradora de Consórcios LTDA.,www.itau.com.br,
,Itauvest Distribuidora de Títulos e Valores Mobiliários S.A.,www.itau.com.br,
,J. Malucelli Distribuidora de Títulos e Valores Mobiliários LTDA.,www.paranaasset.com,
,J. Safra Corretora de Valores e Câmbio LTDA,www.safra.com.br,
,J.P. Morgan Corretora de Câmbio e Valores Mobiliários S.A.,www.jpmorgan.com,
,J.P. Morgan S.A. - Distribuidora de Títulos e Valores Mobiliários,www.jpmorgan.com,
,John Deere Distribuidora de Títulos e Valores Mobiliários LTDA.,,
488,"JPMorgan Chase Bank, National Association",www.jpmorganchase.com,
,Kirton Administradora de Consórcio Ltda.,,
399,Kirton Bank S.A. - Banco Múltiplo,,
,"Lecca Crédito, Financiamento e Investimento S/A",www.lecca.com.br,
,Lecca Distribuidora de Títulos e Valores Mobiliários LTDA,www.leccadtvm.com.br,
,LLA - Distribuidora de Títulos e Valores Mobiliários LTDA.,www.lla.com.br,
,"Luizacred S.A. Sociedade de Crédito, Financiamento e Investimento",www.itau.com.br,
,Maggi Administradora de Consórcios LTDA,www.consorciomaggi.com.br,
,Mapfre Administradora de Consórcios S.A.,www.mapfre.com.br,
,Mapfre Distribuidora de Títulos e Valores Mobiliários S.A.,www.mapfre.com.br,
,Massey Ferguson Administradora de Consórcios LTDA,www.cnmf.com.br,
,"Máxima S.A. Corretora de Câmbio, Títulos e Valores Mobiliários",www.maximacctvm.com.br,
,"Mercantil do Brasil Corretora S.A. - Câmbio, Títulos e Valores Mobiliários",www.mercantil.com.br,
,Mercantil do Brasil Distribuidora S.A. - Títulos e Valores Mobiliários,www.mercantil.com.br,
,"Mercantil do Brasil Financeira S.A - Crédito, Financiamento e Investimentos",www.mercantil.com.br,
,Mercantil do Brasil Leasing S.A. - Arrendamento Mercantil,www.mercantil.com.br,
,Mercedes-Benz Administradora de Consórcios LTDA.,www.consorcios.mercedes-benz.com.br,
,Mercedes-Benz Leasing do Brasil Arrendamento Mercantil S.A.,www.bancomercedesbenz.com.br,
,Merrill Lynch S.A. Corretora de Títulos e Valores Mobiliários,,
,Microinvest S.A. Sociedade de Crédito ao Microempreendedor,www.itau.com.br,
,Modal Distribuidora de Títulos e Valores Mobiliários LTDA,www.modalmais.com.br,
,Morgan Stanley Corretora de Títulos e Valores Mobiliários S.A.,,
128,MS Bank S.A. Banco de Câmbio,www.msbank.com.br,
14,Natixis Brasil S.A. Banco Múltiplo,www.br.natixis.com,
753,Novo Banco Continental S.A. - Banco Múltiplo,www.nbcbank.com.br,
,Omni S.A. Arrendamento Mercantil,www.omni.com.br,
,Omni SA Crédito Financiamento Investimento,www.omni.com.br,
,Ourinvest Distribuidora de Títulos e Valores Mobiliários S.A.,www.ourinvest.com.br/pt,
,PAN Administradora de Consórcio LTDA,www.bancopan.com.br,
,PAN Arrendamento Mercantil S.A.,www.bancopan.com.br,
254,Paraná Banco S.A.,www.paranabanco.com.br,
,PBM - Picchioni - Belgo - Mineira Distribuidora de Títulos e Valres Mobiliários S/A,,
,"Pernambucanas Financiadora S.A. - Crédito, Financiamento e Investimento",,
,Pine Investimentos Distribuidoras de Títulos e Valores Mobiliários LTDA,www.bancopine.com.br,
,Planner Corretora de Valores S.A.,www.planner.com.br,
,Planner Sociedade de Crédito ao Microempreendedor S.A.,www.planner.com.br,
,Planner Trustee Distribuidora de Títulos e Valores Mobiliários LTDA.,www.planner.com.br,
,Ponta Administradora de Consórcios LTDA.,www.sicoobconsorcios.com.br,
,Porto Seguro Administradora de Consórcios LTDA,www.portoseguro.com.br,
,Portobens Administradora de Consórcios LTDA,www.rodobens.com.br,
,Portopar Distribuidora de Títulos e Valores Mobiliários LTDA,www.portopar.com.br,
,"PortoSeg S.A. - Crédito, Financiamento e Investimento",www.portofinanciamento.com.br,
,"Positiva Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",www.positivadtvm.com.br,
,PSA Finance Arrendamento Mercantil S.A.,www.bancopsa.com.br,
,Randon Administradora de Consórcios LTDA.,www.randonconsorcios.com.br,
,Redecard S.A.,www.userede.com.br,
,Rodobens Administradora de Consórcios LTDA.,www.rodobens.com.br,
,Safra Leasing S.A. Arrendamento Mercantil,www.safra.com.br,
,"Santana S.A. - Crédito, Financiamento e Investimento",www.santana-shopcred.com.br,
,Santander Brasil Administradora de Consórcio LTDA.,www.santander.com.br,
,Santander Brasil Asset Manag Distribuidora de Títulos e Valores Mobiliários S.A.,www.santander.com.br,
,Santander Corretora de Câmbio e Valores Mobiliários S.A.,www.santander.com.br,
,Santander Leasing S.A. Arrendamento Mercantil,www.santander.com.br,
,Santander Securities Services Brasil Distribuidora de Títulos e Valores Mobiliários S.A.,www.santander.com.br,
,"Santinvest S.A - Crédito, Financiamento e Investimentos",www.santinvest.com.br,
,Santinvest S.A - Distribuidora de Títulos e Valores Mobiliários,www.santinvest.com.br,
,Scania Administradora de Consórcios LTDA.,www.consorcioscania.com.br,
,Scania Banco S.A.,www.scaniabanco.com.br,
751,Scotiabank Brasil S.A. Banco Múltiplo,www.br.scotiabank.com,
,SG Equipment Finance S.A. Arrendamento Mercantil,,
,Sinosserra Administradora de Consórcios S/A.,www.sinosserra.com.br,
,"Sinosserra Financeira S/A - Sociedade de Crédito, Financiamento e Investimento",www.sinosserrafinanceira.com.br,
,"Societe Generale S.A. Corretora de Câmbio, Títulos e Valores Mobiliários",www.sgcib.com.br,
,Socopa Sociedade Corretora Paulista S.A.,www.socopa.com.br,
,"Sofisa S.A. Crédito, Financiamento e Investimento",,
118,Standard Chartered Bank (Brasil) S/A–Bco Invest.,www.standardchartered.com,
,Tibre Distribuidora de Títulos e Valores Mobiliários LTDA.,,
129,UBS Brasil Banco de Investimento S.A.,www.ubs.com,
,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",www.ubs.com/br/pt/ubs_corretora.html,
091-4,Unicred Central do Rio Grande do Sul,www.unicred-rs.com.br,
,"Uniletra Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",www.uniletra.com.br,
,UNIPRIME Central - Central Interestadual de Cooperativas de Crédito Ltda.,www.uniprimecentral.com.br,
84,"Uniprime Norte do Paraná - Coop de Economia e Crédito Mútuo dos Médicos, Profissionais das Ciências",www.uniprimebr.com,
,Valtra Administradora de Consórcios LTDA,www.consorciovaltra.com.vr,
,Volvo Administradora de Consórcio LTDA.,www.volvo.com.br,
,Votorantim - Corretora de Títulos e Valores Mobiliários LTDA.,www.votorantimfinancas.com.br,
,Votorantim Asset Management Distribuidora de Títulos e Valores Mobiliários LTDA,www.vam.com.br,
,VR Distribuidora de Títulos e Valores Mobiliários LTDA.,,
,Western Union Corretora de Câmbio S.A.,,
,"XP Investimentos Corretora de Câmbio, Títulos e Valores Mobiliários S/A",www.xpi.com.br,
,Yamaha Administradora de Consórcio LTDA.,www.yamaha-motor.com.br,
,Zema Administradora de Consórcio LTDA,www.consorciozema.com.br,
,,,
,,,
370 Bancos - 122 banco(s) filiado(s) à Febraban,,,
Fonte: Secretaria Geral da Febraban,,,
31/01/2018 19:25:15,,,
